"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0V770","2020-04-12 00:00:00","26.000","346.000","1.500","22.200","0.800","1010.500","","0.000","-99.000","-99.000","-99.000","28.100","","20.300",""
"C0UA10","2020-04-12 00:00:00","1711.000","92.000","0.800","11.100","1.000","831.300","","6.000","-99.000","-99.000","-99.000","15.300","","8.200",""
"C0R660","2020-04-12 00:00:00","20.000","36.000","2.600","23.400","0.850","1011.200","","0.000","-99.000","-99.000","-99.000","26.100","","20.300",""
"C0M640","2020-04-12 00:00:00","155.000","351.000","0.700","20.100","0.990","996.400","","0.000","-99.000","-99.000","-99.000","27.500","","19.500",""
"C0S660","2020-04-12 00:00:00","794.000","187.000","0.400","17.000","0.980","925.900","","0.000","-99.000","-99.000","-99.000","22.000","","14.800",""
"C0G900","2020-04-12 00:00:00","20.000","25.000","2.100","19.400","0.960","1011.800","","1.500","-99.000","-99.000","-99.000","23.200","","19.100",""
"C0AD40","2020-04-12 00:00:00","32.000","265.000","0.400","18.100","0.970","1011.500","","16.000","-99.000","-99.000","-99.000","23.800","","17.300",""
"C0UA00","2020-04-12 00:00:00","392.000","307.000","0.800","17.700","1.000","970.000","","2.000","-99.000","-99.000","-99.000","24.600","","13.700",""
"C0I080","2020-04-12 00:00:00","536.000","0.000","0.000","18.300","0.970","956.400","","2.500","-99.000","-99.000","-99.000","24.800","","15.900",""
"C0UA30","2020-04-12 00:00:00","1397.000","94.000","0.700","13.000","1.000","860.400","","3.500","-99.000","-99.000","-99.000","16.900","","10.100",""
"C0Z270","2020-04-12 00:00:00","343.000","252.000","1.800","18.600","0.990","974.400","","0.500","-99.000","-99.000","-99.000","21.700","","17.100",""
"C0G750","2020-04-12 00:00:00","31.000","2.000","1.600","19.500","0.930","1012.000","","-99.000","-99.000","-99.000","-99.000","25.900","","18.900",""
"C0A550","2020-04-12 00:00:00","422.000","0.000","0.100","15.800","1.000","967.000","","13.000","-99.000","-99.000","-99.000","22.300","","15.800",""
"C0G830","2020-04-12 00:00:00","27.000","8.000","2.100","19.500","0.990","1009.900","","1.000","-99.000","-99.000","-99.000","26.000","","19.200",""
"C0E810","2020-04-12 00:00:00","53.000","0.000","0.000","17.700","0.990","1009.400","","11.000","-99.000","-99.000","-99.000","21.500","","17.200",""
"C0R640","2020-04-12 00:00:00","21.000","22.000","3.300","23.700","0.830","1010.700","","0.000","-99.000","-99.000","-99.000","26.400","","21.900",""
"C0D580","2020-04-12 00:00:00","120.000","0.000","0.000","17.300","0.990","1001.700","","17.000","-99.000","-99.000","-99.000","21.300","","16.000",""
"C0M660","2020-04-12 00:00:00","40.000","360.000","2.500","20.000","0.960","1010.500","","0.000","-99.000","-99.000","-99.000","27.700","","18.900",""
"C0K330","2020-04-12 00:00:00","38.000","6.000","1.000","19.500","0.990","1009.900","","1.000","-99.000","-99.000","-99.000","27.000","","19.200",""
"C0E830","2020-04-12 00:00:00","37.000","96.000","1.300","18.600","0.960","1010.700","","6.500","-99.000","-99.000","-99.000","22.000","","18.000",""
"C0X290","2020-04-12 00:00:00","10.000","23.000","3.200","22.000","0.840","1012.900","","0.000","-99.000","-99.000","-99.000","26.300","","19.900",""
"C0U760","2020-04-12 00:00:00","22.000","0.000","0.100","19.900","0.990","1012.100","","2.000","-99.000","-99.000","-99.000","25.500","","18.800",""
"C0U780","2020-04-12 00:00:00","15.000","0.000","0.000","19.700","0.990","1012.600","","4.000","-99.000","-99.000","-99.000","25.200","","17.900",""
"C0H9C0","2020-04-12 00:00:00","3402.000","317.000","1.500","4.100","0.980","675.400","","21.500","-99.000","-99.000","-99.000","5.400","","1.700",""
"C0R830","2020-04-12 00:00:00","383.000","278.000","3.000","21.300","0.740","968.000","","0.000","8.200","281.000","","25.700","","18.100",""
"C0V650","2020-04-12 00:00:00","28.000","18.000","2.700","22.800","0.810","1012.300","","0.000","-99.000","-99.000","-99.000","26.300","","20.600",""
"C0R720","2020-04-12 00:00:00","214.000","302.000","7.500","22.900","0.760","987.600","","0.000","-99.000","-99.000","-99.000","26.300","","19.700",""
"C0K470","2020-04-12 00:00:00","97.000","322.000","2.000","19.900","0.990","1003.300","","1.500","-99.000","-99.000","-99.000","26.900","","17.500",""
"C0R800","2020-04-12 00:00:00","131.000","252.000","2.100","23.800","0.690","997.300","","0.000","-99.000","-99.000","-99.000","27.000","","19.100",""
"C0T9N0","2020-04-12 00:00:00","261.000","64.000","0.500","19.700","0.980","983.200","","0.000","-99.000","-99.000","-99.000","25.400","","17.200",""
"CM0180","2020-04-12 00:00:00","313.000","0.000","0.000","21.700","0.820","978.700","","0.000","-99.000","-99.000","-99.000","30.100","","17.300",""
"C0Z070","2020-04-12 00:00:00","247.000","344.000","0.400","19.200","0.990","984.000","","0.000","-99.000","-99.000","-99.000","26.200","","17.300",""
"C0Z280","2020-04-12 00:00:00","224.000","111.000","0.300","19.200","0.990","988.800","","0.500","-99.000","-99.000","-99.000","25.100","","16.800",""
"C0SA40","2020-04-12 00:00:00","200.000","0.000","0.000","20.200","0.950","990.200","","0.000","-99.000","-99.000","-99.000","24.800","","16.200",""
